FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label
17086,1.039652317,0.16352427,0.578411262,780.9130241,3.684554782,982.0941772,5.596180096,0
4989,0.915581394,0.157889013,0.538630635,403.4559024,2.519817879,1310.013143,5.07947324,0
11457,0.968946368,0.165156742,0.559540863,458.7795256,2.373529204,1580.127213,5.941767623,0
3640,0.912025089,0.15743424,0.537444254,111.3562966,2.06716284,394.0483047,4.876680531,0
15184,1.038972405,0.163209921,0.576690817,393.7692713,3.889703824,217.0433225,4.592880769,0
4552,1.034496042,0.164421435,0.540342547,589.8290341,3.134304179,1364.44455,5.873088932,1
4672,0.91849422,0.155493337,0.535325868,491.4278076,2.055544524,1576.923353,6.13178032,1
13088,1.056918127,0.167944193,0.581612638,3.377156063,2.079057769,68.60276204,5.28536997,0
16189,0.988138457,0.170454385,0.586659127,1003.761322,2.085548193,3012.231716,6.680579954,1
16634,0.924795857,0.16155565,0.559578946,1277.408445,2.118348759,101.6323783,6.90074855,1
12713,1.030550966,0.168576724,0.572443135,1257.140212,3.536407638,1184.663218,4.782630806,0
1770,0.907297235,0.184005115,0.56983112,202.4929744,2.445630317,720.4080462,5.219807476,0
13150,1.060304688,0.167639343,0.577849861,646.7052426,2.226990986,1249.583179,5.653514378,1
3571,1.002420174,0.173142359,0.554280976,50.02210247,2.306375425,204.0407846,5.01198477,0
3407,1.035811774,0.165861536,0.535599176,1411.22907,3.967587494,1916.186869,4.944208762,0
9641,1.05410349,0.159776163,0.548836414,355.7569604,2.402418484,1235.249867,4.857800273,1
12975,1.02310602,0.167887278,0.5727383,345.0313336,2.2603472,1305.7259,4.495558697,0
1971,1.034615516,0.172790264,0.540652663,348.4677806,5.227663638,49.18047764,4.391187217,0
5177,0.915398533,0.156537896,0.536483116,341.2087882,1.939598191,487.937469,4.891761485,0
2834,0.902907899,0.164563537,0.546760454,0.626338855,0.631711011,18.10800238,4.841848735,1
10524,1.086727281,0.154134471,0.540771802,1019.747096,3.19755324,36.6206937,6.144636217,0
15812,1.0550094,0.165188839,0.586370563,487.1762134,2.830008084,533.5337521,5.643440872,0
17329,1.065628449,0.176133592,0.57108044,472.7967533,1.652023802,1656.103091,5.174565864,1
10040,1.031269198,0.166994345,0.557092741,584.2992745,2.950342083,389.4575923,5.070371831,0
16931,1.064335853,0.171573122,0.605028129,255.4176911,2.182994918,984.0604049,4.798231392,1
10424,0.943238639,0.16379111,0.552574449,1273.37278,2.67211347,2538.101371,7.448615235,1
1495,1.047853907,0.173806417,0.538332821,816.5721369,2.797576944,1189.011178,7.921079492,1
7116,1.062269249,0.158591243,0.529317588,1299.723423,3.432384805,1441.763402,4.435274392,1
2608,1.024857535,0.171971158,0.543263477,348.8390167,3.048046312,1043.508726,6.305257388,1
6490,1.023522505,0.170522884,0.558776413,440.5231089,2.661084398,412.3453721,6.939583741,1
2365,1.017059381,0.173496149,0.544427983,547.2540608,2.65841216,115.89662,5.113797047,0
9293,1.073401482,0.155612019,0.539321351,1109.785219,3.424102217,1222.299826,6.610009102,1
16878,1.066142983,0.171630144,0.605244198,475.7852915,1.662485071,1692.99284,6.098456146,1
6060,1.036908769,0.175827546,0.568413086,349.9753462,2.401361674,391.8439818,4.094891419,0
7756,0.923144025,0.158058598,0.540496863,995.2981214,2.724916381,1134.921187,5.302090337,1
15843,1.085658527,0.172495433,0.611353312,180.7807191,1.41231373,702.3562224,5.180815851,1
8371,1.015832656,0.17490124,0.568699123,259.9903535,1.75681675,612.1304383,7.553374634,1
4882,0.910582431,0.163091801,0.545597502,410.2134138,2.252271851,662.0731745,5.258816843,0
2270,0.988049465,0.17365566,0.551259735,411.4988568,2.591018549,644.2214758,5.069778088,0
326,0.991071545,0.174508105,0.549052657,543.2225342,3.102650466,694.5477513,5.501571565,1
929,1.056609702,0.174016752,0.537080694,1365.05469,4.11375367,1705.081769,4.134176691,0
9805,0.982110532,0.170237488,0.564999305,944.8215688,3.34509614,2841.03199,4.403405648,0
14619,1.080131111,0.171417965,0.606986062,369.7116805,1.018506476,562.4138294,8.292628549,1
4690,1.013481121,0.175286141,0.564709818,231.6508322,2.689285883,702.9095057,5.231502575,0
5770,0.92197798,0.153127518,0.532164699,684.7200836,2.060647988,532.8340376,9.170379838,1
2232,1.036780542,0.173165336,0.54029984,360.6998063,3.751668766,279.7843152,4.842297387,0
6159,0.927759488,0.163030576,0.548669902,617.3727338,2.809774943,2204.824926,4.949034978,0
482,1.043827942,0.171873004,0.536498533,1824.999051,3.809896137,2720.184394,6.348918868,1
11831,1.001353824,0.168323589,0.568063043,760.2111723,2.317555351,2560.71057,6.074842633,0
13812,1.038290472,0.167577302,0.576741857,163.5467172,1.514963504,614.0710098,6.151412534,1
15282,1.041467826,0.16884806,0.559286506,522.7219316,3.633283885,519.067384,4.881384872,0
14118,1.05883453,0.165854112,0.572186702,503.6183315,3.10045237,1406.187854,5.593684064,1
1258,0.930225691,0.17492661,0.557678578,118.9962515,2.618650535,475.5673568,5.861488083,0
10983,0.972772893,0.166608026,0.561317399,727.0047131,1.505801849,2659.457924,7.382092089,1
7802,1.065803976,0.157151394,0.537713337,1298.552561,2.132723696,1166.490182,8.00614606,1
