FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label,probability_1,predicted,correct
16779,1.049907367,0.168794053,0.557996155,1129.889503,3.662466559,2255.010078,5.74247463,0,0.4053497816303338,0,1
8760,1.03045629,0.166262065,0.554642446,884.3897143,3.271472808,1518.635023,5.522589884,0,0.379142950123072,0,1
15866,1.010183167,0.17097027,0.588248724,883.2838154,3.428351914,1311.209166,6.065287682,0,0.2342792663218117,0,1
4469,1.039166713,0.162994075,0.540615886,423.0324037,3.0933323,415.0100017,4.705821787,0,0.252573238603047,0,1
10266,1.069857973,0.156593599,0.54385758,977.3761914,3.247205174,1434.910225,6.105788282,1,0.6336722537783004,1,1
8090,1.028184571,0.166728448,0.554097864,606.512263,2.793904074,1700.089216,6.675893188,1,0.6689603884732555,1,1
843,0.989342048,0.174493664,0.549438521,484.2876381,2.890424489,514.1433126,6.228036314,0,0.4442578822529351,0,1
12786,1.033938333,0.168136668,0.575065567,491.1094992,1.48105533,1746.617019,6.027282376,1,0.775776744395652,1,1
1711,1.033857263,0.172077441,0.540277643,635.7213706,2.431247083,496.8057863,8.250508104,1,0.9197711536713581,1,1
4599,0.988504916,0.174311982,0.562690503,65.76144033,2.219731347,223.9313544,5.068063846,0,0.27149459519278507,0,1
856,1.05004729,0.173317247,0.537252881,1468.365761,3.609966277,2290.076222,8.451919743,1,0.9167871007155025,1,1
9956,1.042746213,0.162419271,0.551175951,517.1074705,3.096111807,1467.613891,5.406481525,0,0.3730697762609091,0,1
5746,0.989832512,0.173982157,0.56536232,394.6375021,2.73163109,1330.696774,4.943053966,0,0.22095253004396656,0,1
435,0.957254176,0.175713866,0.555262376,80.07494517,2.990865572,266.9495007,4.681685509,0,0.09877828467941124,0,1
7699,1.075178736,0.155616198,0.534685666,901.5741518,3.11335961,2363.749705,8.775463134,1,0.9524593950624208,1,1
2221,0.914971473,0.175345165,0.558846689,90.30988397,2.430830808,307.2586492,5.593395454,0,0.21859101433096106,0,1
14460,1.084621612,0.172447053,0.611147511,83.4170636,2.511713345,342.9751658,4.94832184,0,0.15382639299889098,0,1
15518,1.028292419,0.165775106,0.574082289,572.8908106,2.730036905,1622.174531,7.210617649,1,0.6680699250848268,1,1
7963,1.031896166,0.175928981,0.569970556,110.7794372,2.615542292,340.8922554,4.86417402,0,0.20282139623842227,0,1
6158,0.931061608,0.16382427,0.550031202,600.0190233,2.000458099,2161.750831,8.026691679,1,0.8854575218002707,1,1
3816,0.906891567,0.160377372,0.541292682,58.80614157,1.287259848,274.7753058,5.874431026,1,0.6294772895846958,1,1
16746,1.074141999,0.171550198,0.60612565,682.9684519,0.976165871,1886.922833,7.320882618,1,0.9297958205476741,1,1
16237,0.92249458,0.156194829,0.547895117,353.9122229,1.673737095,127.5346657,9.784410158,1,0.9588362713364749,1,1
6828,0.922476979,0.156013777,0.537013598,1000.773428,2.981928942,1081.140407,5.291187462,0,0.3236128598326172,0,1
8935,1.035132385,0.16383289,0.55011051,745.0401988,2.835844486,746.8392514,7.525449895,1,0.797014093722326,1,1
4561,1.051156549,0.160816801,0.532677971,1018.434115,3.561958839,1489.269972,4.451710546,0,0.29223765939416807,0,1
13895,1.073907168,0.168075923,0.582997274,438.3567185,1.02840985,882.2210965,8.696718791,1,0.9749481979143562,1,1
6232,1.066617373,0.157464106,0.530556145,1173.512028,2.967215141,1119.332501,5.118248602,1,0.6253719590589776,1,1
16635,0.924511788,0.161520973,0.559438961,1249.468218,2.558861409,204.3302345,5.65088454,0,0.40144899618211793,0,1
8541,0.949275119,0.166563398,0.556039963,1008.965731,2.854933282,3346.594863,7.742497619,1,0.8012806017069224,1,1
7966,1.028057381,0.175743621,0.569714582,169.2438659,2.36915838,540.9855583,5.090600462,0,0.29718348475513784,0,1
6648,1.025381452,0.174744295,0.565596156,473.3922545,2.816688618,1122.968468,5.229269353,0,0.29760122673664374,0,1
13373,1.048344229,0.168178006,0.576359971,1071.851597,2.963375081,2261.425828,5.271810846,0,0.4063074255784355,0,1
