FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label,probability_1,predicted,correct
1866,0.920949119,0.177153706,0.56065009,14.09728846,2.135779695,67.20420047,4.171711975,0,0.13645469041748953,0,1
3715,0.954092383,0.17294705,0.556438323,125.542949,2.720312088,369.8396502,4.329534167,0,0.12501442892259101,0,1
2865,0.913962253,0.166291627,0.549715733,165.5103669,1.851444252,502.6563625,5.004085947,0,0.19861194267483587,0,1
675,1.044793111,0.172184024,0.536613162,1864.005099,4.740312963,2423.960408,5.104832076,0,0.18194007749738547,0,1
13261,1.078385922,0.16859066,0.587422559,102.7966136,0.887550339,358.4737041,4.976586968,1,0.7643018828716908,1,1
12644,1.026637885,0.168033446,0.568518935,1249.034148,3.366768616,1723.431636,4.47639919,0,0.12855481083259931,0,1
11101,0.950561759,0.16234695,0.553172189,203.6774987,1.112759734,707.1393855,5.799015199,1,0.870081045213707,1,1
8954,0.939211866,0.16502897,0.552693538,799.1693928,2.863485839,2803.934227,5.665319478,0,0.3498190874342817,0,1
13618,1.053785281,0.161903907,0.558020253,867.1214832,3.643302688,2260.989962,4.495316502,0,0.13225570265057962,0,1
304,1.044042309,0.173780993,0.538917284,892.4850034,3.0749346,1524.175131,5.577430484,1,0.616407191150624,1,1
9887,1.043975381,0.162208346,0.551777371,253.9442445,3.257269519,807.6191705,4.091209837,0,0.11842353318923518,0,1
7762,1.06176743,0.157943516,0.536697053,1197.685254,2.83685437,932.1146675,6.69433253,1,0.8618167204946265,1,1
7905,0.931443538,0.161898975,0.548221695,1219.126231,3.437712119,1791.153244,4.715504559,0,0.13040776522706835,0,1
2740,1.015677078,0.170804847,0.548178254,467.7191139,3.321402946,769.9579534,5.102026164,0,0.15985408825480849,0,1
9359,1.084799877,0.154511326,0.541659553,1126.358874,3.081458817,297.9373744,6.059006418,1,0.7640795654205836,1,1
1042,0.931475027,0.17764025,0.560487273,102.9020222,2.707262132,236.9690789,5.953199859,0,0.20959335325671,0,1
12603,1.03928987,0.164700164,0.5620371,1108.995927,3.193754886,1855.454176,7.523712189,1,0.770549452889603,1,1
2235,1.037169278,0.173440134,0.540256466,500.4109349,3.730336444,268.119191,5.315101862,0,0.15810803307107588,0,1
