FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label,probability_1,predicted,correct
1866,0.920949119,0.177153706,0.56065009,14.09728846,2.135779695,67.20420047,4.171711975,0,0.26830322,0,1
3715,0.954092383,0.17294705,0.556438323,125.542949,2.720312088,369.8396502,4.329534167,0,0.045644462,0,1
2865,0.913962253,0.166291627,0.549715733,165.5103669,1.851444252,502.6563625,5.004085947,0,0.2050347,0,1
675,1.044793111,0.172184024,0.536613162,1864.005099,4.740312963,2423.960408,5.104832076,0,0.11812011,0,1
13261,1.078385922,0.16859066,0.587422559,102.7966136,0.887550339,358.4737041,4.976586968,1,0.9194401,1,1
12644,1.026637885,0.168033446,0.568518935,1249.034148,3.366768616,1723.431636,4.47639919,0,0.11275667,0,1
8680,0.922034941,0.152129758,0.530559727,292.5268224,4.018647648,817.1966126,8.169041576,1,0.8523041,1,1
11101,0.950561759,0.16234695,0.553172189,203.6774987,1.112759734,707.1393855,5.799015199,1,0.91404235,1,1
8954,0.939211866,0.16502897,0.552693538,799.1693928,2.863485839,2803.934227,5.665319478,0,0.22155173,0,1
13618,1.053785281,0.161903907,0.558020253,867.1214832,3.643302688,2260.989962,4.495316502,0,0.13240094,0,1
9887,1.043975381,0.162208346,0.551777371,253.9442445,3.257269519,807.6191705,4.091209837,0,0.12572168,0,1
7762,1.06176743,0.157943516,0.536697053,1197.685254,2.83685437,932.1146675,6.69433253,1,0.88808835,1,1
7905,0.931443538,0.161898975,0.548221695,1219.126231,3.437712119,1791.153244,4.715504559,0,0.14386263,0,1
15797,1.006592318,0.17123466,0.588849225,859.190906,2.759805375,509.8778561,8.023339669,0,0.49771675,0,1
2740,1.015677078,0.170804847,0.548178254,467.7191139,3.321402946,769.9579534,5.102026164,0,0.23610546,0,1
1042,0.931475027,0.17764025,0.560487273,102.9020222,2.707262132,236.9690789,5.953199859,0,0.11256533,0,1
12603,1.03928987,0.164700164,0.5620371,1108.995927,3.193754886,1855.454176,7.523712189,1,0.7626925,1,1
2235,1.037169278,0.173440134,0.540256466,500.4109349,3.730336444,268.119191,5.315101862,0,0.2049206,0,1
2545,1.041148863,0.172178359,0.538073445,1121.05088,2.74807861,1735.769699,6.80546231,1,0.871807,1,1
13517,1.043343674,0.164562913,0.563086474,1037.214158,2.17449641,1520.768892,8.959487569,1,0.9273493,1,1
4196,1.01983256,0.174298021,0.563954413,455.5579642,2.448263699,884.072767,6.45575591,1,0.8623183,1,1
15871,0.995249006,0.17021463,0.587877186,796.928942,1.989671376,2883.283176,6.469110267,1,0.8901387,1,1
7670,1.0321516,0.173101914,0.565184011,737.6321026,2.750642797,1548.915085,7.266422652,1,0.7927001,1,1
957,1.055769597,0.174120028,0.537328128,1424.300823,3.900652789,2723.359085,6.106835413,1,0.81755847,1,1
21,0.96048038,0.176377557,0.555190827,236.5160548,2.965898113,777.0274621,6.123480091,1,0.6323317,1,1
12440,1.015362503,0.167347923,0.571163647,166.5672602,1.2890521,612.1065157,4.794472125,0,0.28762013,0,1
10441,1.077620887,0.155037085,0.540344931,1083.43638,2.987332868,617.8350675,6.941231619,1,0.8700535,1,1
11071,0.936469336,0.159569716,0.545998328,163.5745253,1.315221797,623.5515264,8.316008749,1,0.9410197,1,1
13639,1.048198392,0.16444242,0.564419232,811.8850006,2.198662727,1586.158749,7.041186876,1,0.90641826,1,1
5707,0.916589602,0.158937013,0.540497999,163.8005397,1.993915988,458.5216384,5.488724259,0,0.27939564,0,1
3526,1.030328042,0.168798124,0.538842973,1219.440532,3.756318108,1468.77235,6.403580412,0,0.4775223,0,1
11209,1.013969966,0.169331964,0.568506284,1124.035978,1.992153431,946.4890463,9.607783066,1,0.8393325,1,1
19,0.95781645,0.176729835,0.556046146,280.1686704,3.246472153,945.3691819,5.223243691,0,0.17291875,0,1
14478,1.096481164,0.172783634,0.613873829,242.2544112,1.259543339,1235.539133,5.14134293,1,0.54746133,1,1
7793,1.045910722,0.16114945,0.54544913,836.88068,3.041279025,726.1732616,4.409660459,0,0.1848605,0,1
15791,1.005578071,0.171324319,0.588793405,816.8583584,2.755502996,469.6222199,7.896565244,1,0.6982678,1,1
4207,0.954358337,0.170938729,0.558964007,311.5223708,2.464735946,1107.91308,4.43093682,0,0.13878787,0,1
5941,0.922164671,0.155609231,0.536285751,935.5470836,2.728755678,1252.454363,6.043734753,0,0.33390802,0,1
9052,1.067163957,0.156888066,0.537786391,1271.531125,2.272133145,1280.720137,8.018219536,1,0.9563945,1,1
343,1.017482038,0.173657346,0.543983676,792.1728761,3.330845725,284.575448,5.379842207,0,0.24445106,0,1
6957,1.063404565,0.158072355,0.531353252,1298.650305,2.098392243,774.9611621,7.433624682,1,0.97426444,1,1
16140,1.002306891,0.171399086,0.569749472,37.31338721,2.553351218,118.1605414,4.740276974,0,0.057918474,0,1
4314,0.915060195,0.156309553,0.536077546,272.0926656,1.70721025,558.7894512,6.012149754,1,0.8707806,1,1
9775,1.080855097,0.154838735,0.54116169,1140.51477,3.043469096,471.1900386,7.393621701,1,0.8740088,1,1
14668,1.101780864,0.173075042,0.615666447,94.8261897,6.166972768,733.4745229,4.645570654,0,0.10382453,0,1
13899,1.077547937,0.168403487,0.585081526,583.4583487,1.076117168,1281.827877,6.886266028,1,0.9673049,1,1
3203,0.968870568,0.173310414,0.557541841,78.81718448,1.973008128,306.9424418,8.242605692,1,0.71070886,1,1
12197,1.025086878,0.168443097,0.569419932,1353.769243,3.421422228,1776.423412,5.139350273,0,0.11275667,0,1
4966,1.033637452,0.164940307,0.53984957,725.6929211,3.660000901,1262.528148,4.21451958,0,0.14839604,0,1
11521,0.996898838,0.166497617,0.56702625,144.4646391,2.470971972,595.1050726,5.062220355,0,0.10157863,0,1
12333,1.03755187,0.168447125,0.574572274,1117.802099,3.397374277,1678.167979,5.273851514,0,0.12212062,0,1
6950,1.03617216,0.175271227,0.567709092,480.1665916,2.216427709,369.1418043,5.057287966,0,0.2201403,0,1
15542,0.999326381,0.172578833,0.587924856,534.1162854,3.498969308,1710.737188,5.278369778,0,0.09560911,0,1
13728,1.084789242,0.168797443,0.588545534,558.7562823,3.002626082,2005.405795,4.733311909,0,0.11034098,0,1
16398,1.003633386,0.171492159,0.572207367,54.39157941,2.079853485,217.4632258,5.092666425,0,0.068016656,0,1
14253,1.069536324,0.168772583,0.598306302,205.0427849,2.705974072,728.3743063,4.892760299,0,0.1009092,0,1
