FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label
63,0.953270074,0.177392672,0.557530998,283.7820337,3.498944689,1016.49559,5.238136475,0
13748,1.043350686,0.166917857,0.570564783,983.4711133,2.406356522,42.66038446,5.396506357,0
1392,1.035268573,0.173606792,0.540549017,763.4058663,4.510617824,1247.968539,4.668367561,0
13049,1.060740195,0.160275015,0.554832737,925.9434219,3.974307737,2209.0905,4.675479203,0
12312,1.044041345,0.168228029,0.575267422,1154.599544,3.514710597,2194.852665,4.75093278,0
15196,0.947929799,0.165814314,0.573174025,457.3814605,1.032355571,1374.261736,8.960753683,1
13204,1.048338171,0.16784678,0.579256374,240.3558718,1.586089371,887.1109486,6.402130592,1
9956,1.042746213,0.162419271,0.551175951,517.1074705,3.096111807,1467.613891,5.406481525,0
7188,0.921419574,0.153198647,0.532164602,574.7514538,2.591279239,1137.822867,7.080679169,1
7169,1.061884344,0.158628555,0.529712243,1297.87372,3.259579842,1360.982702,6.181555799,1
1376,1.040042194,0.172932309,0.539298151,607.1476935,3.115311787,579.3351392,7.654056001,0
2305,1.018517894,0.173076015,0.54508099,108.6548333,3.159599194,266.009296,4.326756125,0
15882,1.061828642,0.163355267,0.583524473,70.38949203,1.265950337,241.5680962,8.236134419,1
10558,1.089280297,0.15404495,0.541765311,1081.241762,3.45294037,54.15630814,4.716096394,0
15041,1.003715723,0.173438044,0.588220245,403.374402,2.943025264,1305.720361,5.128167878,0
3330,1.030752266,0.167904009,0.53832017,1318.668299,3.948307179,1857.527213,5.389591272,1
15062,1.051867417,0.168582075,0.557572955,925.5320097,2.915091005,250.1967931,7.072375551,0
9581,0.990723657,0.170032024,0.566457281,927.0156544,2.140590822,2006.012172,4.901966171,0
3885,1.003617786,0.172980621,0.554982514,78.68760529,2.23506941,331.1005788,4.627401171,0
5042,1.019004068,0.174644835,0.564363133,425.711559,2.236108229,610.6506099,7.713134811,1
14536,1.07054614,0.159563115,0.576052365,22.72649837,2.27576891,78.61784387,4.778485507,0
7424,1.074728225,0.157089499,0.523708552,1226.791601,3.816884016,2376.002093,5.619303413,0
13169,1.052685442,0.167254726,0.574431672,776.0510447,2.275789809,579.8195594,4.942081521,1
3819,1.009662543,0.172127557,0.551485095,240.8786515,2.702791044,749.6763484,4.834743551,0
3564,0.904791894,0.164848417,0.547285622,3.60406562,0.73497203,208.3991505,6.164658195,1
6215,1.023749478,0.170403206,0.558659281,439.8045728,2.862917558,475.3258726,6.077887838,1
9930,0.929163625,0.157957138,0.541760777,726.2780255,1.801690524,819.5216385,6.116230904,1
13540,1.065493343,0.168187423,0.583909234,19.51380716,1.446529194,130.7480816,6.876208013,1
9452,1.070599639,0.156084143,0.541593325,1313.689385,3.184386304,1173.544751,7.291772443,1
16600,0.922249459,0.156265201,0.547978523,139.9892671,1.515807439,532.7848176,5.717453761,1
9622,1.01760609,0.173123389,0.567641525,315.018329,3.249459246,842.5678262,4.826445042,0
9590,1.071577755,0.155893972,0.541182868,1256.148813,3.126514629,1103.082625,6.786121016,1
10300,0.981854489,0.170318813,0.564951948,925.8816783,3.248666021,2747.651247,5.389369549,1
1732,0.925948732,0.174193494,0.557198889,99.52888108,2.39165113,356.539112,5.798670792,0
7532,0.922600673,0.150784683,0.528403926,549.5299635,2.389992087,329.3543662,4.565977893,1
1983,0.968331887,0.173795854,0.554319344,223.1342153,2.559703173,532.6776993,5.732018836,1
12965,1.013269193,0.166459996,0.570846699,32.52860494,0.969956275,165.501112,7.368922788,1
8389,1.055490018,0.159067501,0.540901555,986.9864075,2.813809279,254.6983866,4.602093585,0
4077,1.040579888,0.163067069,0.537281289,744.9806952,3.530642761,1864.017311,4.470426738,0
15846,0.926144881,0.163672643,0.56433223,1109.517189,2.757430691,1019.74291,7.921846607,1
11633,1.018013246,0.169973667,0.56500904,586.0603331,3.93095728,1749.171549,4.791704048,0
16739,1.054895497,0.170533587,0.599369959,927.4744166,1.434942693,1980.571933,7.78765527,0
14191,1.086772417,0.172527988,0.611538967,360.2922631,1.251529639,1277.886784,5.544797631,1
11919,1.032338301,0.165095103,0.559400702,561.3250747,3.17060768,885.2898652,7.447828174,0
10723,0.971575971,0.167281294,0.561471324,949.5137688,2.371831362,3357.239928,5.850567998,1
1870,1.037024479,0.170754821,0.537689712,1310.122754,3.948836849,924.9372365,4.631562353,0
6626,1.063265386,0.158292421,0.529913746,1312.763491,3.204722939,1176.635024,4.841153859,0
8394,1.033610971,0.164016941,0.549354931,598.2375499,3.168708149,1234.858206,4.318279686,1
8033,1.031134036,0.17612981,0.570113405,187.6299245,2.065058846,384.4072715,5.136091998,0
15087,0.916020019,0.170131826,0.571592345,5.491879517,0.976599585,69.94989919,5.272973828,1
5516,1.018939648,0.168201982,0.54999039,76.72603798,2.890798851,197.4182591,3.975084491,0
8023,1.032044559,0.173111969,0.565158117,747.6625283,2.604981752,1492.438638,6.87712025,1
1501,1.028237169,0.172889332,0.542364898,114.0622243,3.816237013,113.8780124,5.395644684,0
15620,0.918358339,0.164474345,0.564083715,362.6237984,2.315402172,1266.320851,6.888783154,1
8848,0.922476505,0.152808168,0.531755171,788.686379,2.202709176,451.4441944,6.702562505,1
16091,1.017458582,0.169522674,0.586557075,860.6981238,3.158474232,2481.148193,6.153584583,1
6042,0.942275848,0.168342799,0.556064704,189.366682,1.825119442,688.3790015,5.014460792,0
6094,1.066628016,0.157723279,0.528596746,1279.729751,3.033837278,1401.822891,6.470407397,1
6157,0.932550404,0.164199996,0.550631535,587.6066658,1.893280345,2100.574262,7.248244717,1
