FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label
0,1.032336852,0.173903641,0.540759976,1399.816133,3.449655032,2032.268709,7.511351322,1
1,1.036179252,0.1739102,0.54005838,1452.270984,3.351577579,2289.101516,7.397089437,1
2,1.034248695,0.173900238,0.540413408,1427.899396,3.355285531,2170.271564,7.548315605,1
3,1.040039702,0.173917697,0.539438239,1487.814834,3.489951582,2261.629379,8.816201765,1
4,1.038104441,0.173915038,0.539720792,1472.312893,3.421316262,2262.55156,9.006660823,1
5,1.03125663,0.173901595,0.540960442,1400.69853,3.587869402,1970.089,5.458872455,1
6,1.030894792,0.173901322,0.541028572,1386.608351,3.564652613,1922.199779,6.266657343,1
7,1.030441715,0.173908509,0.541106167,1389.506261,3.70377261,1914.18762,5.250920378,0
8,1.050393251,0.17401708,0.53798803,1470.759898,3.78116605,2365.707363,7.267271742,1
9,1.051957382,0.174042232,0.537791245,1457.781869,3.892722122,2467.78783,5.82506897,1
10,1.052771697,0.174058586,0.537689078,1456.337635,3.918565064,2524.349979,5.334451491,1
11,1.05286802,0.174058364,0.537678119,1459.758586,3.986614568,2520.808509,4.58811357,0
12,1.054078655,0.174083804,0.537529296,1448.040755,3.887161118,2605.354767,5.575078737,1
13,1.053424655,0.174070828,0.537609074,1446.35376,3.875620453,2573.449603,6.184626783,1
14,1.037543095,0.173915501,0.539810419,1487.172681,3.486311453,2232.411391,8.859430795,1
15,0.961792371,0.176211556,0.554770337,220.0391811,2.923560323,704.1571386,6.986325439,1
16,0.954267552,0.177234838,0.557198497,315.0288622,3.556705857,1132.648661,4.91805857,0
17,0.955196423,0.177099294,0.556895041,331.1317594,3.482368152,1134.160409,5.656995303,0
18,0.956485771,0.176910918,0.556474215,311.4303901,3.321253724,1029.782403,6.211415249,0
19,0.95781645,0.176729835,0.556046146,280.1686704,3.246472153,945.3691819,5.223243691,0
20,0.959125156,0.176550774,0.555622668,254.8250552,3.105318184,861.1084525,6.328553261,1
21,0.96048038,0.176377557,0.555190827,236.5160548,2.965898113,777.0274621,6.123480091,1
22,1.000827206,0.174306682,0.547025315,766.1275037,3.623123796,1248.745029,6.415454433,0
23,1.000378306,0.174278859,0.547152302,743.3905102,3.680741998,1125.318301,5.189833954,0
24,0.999016505,0.174307,0.547439258,707.9367241,3.864580021,1044.728856,4.609746894,0
25,0.995514734,0.174436511,0.548125331,670.0143003,3.959778628,965.7325228,4.395901964,0
26,0.996836418,0.174387285,0.547865921,674.859648,3.937414021,995.4804618,4.436922543,0
27,1.001185205,0.174260503,0.546984794,754.6311235,3.582463355,1170.984423,6.144028531,0
28,1.001658939,0.174287873,0.546851061,791.170779,3.511881913,1274.526972,6.620008721,0
29,1.027312239,0.173918372,0.541685462,1342.201513,3.818658587,1719.484814,5.219060491,0
31,0.97820757,0.175438382,0.551446277,474.6957891,3.355648845,1483.359661,5.511688058,1
32,1.059700297,0.174230699,0.536871887,1398.292188,4.150762543,1869.609672,4.821486291,0
33,1.059789568,0.17423612,0.536865933,1388.97418,4.26879812,1841.356454,4.880760081,0
34,1.059906966,0.174244107,0.536857514,1386.83067,4.22179311,1880.853553,4.745646517,0
35,0.958245948,0.177216968,0.556439265,408.9604585,3.373309783,1400.880265,5.46921489,1
36,0.954628224,0.177741123,0.557659138,392.3634185,3.627448604,1371.795291,4.967829131,0
37,0.955593801,0.177592536,0.557328773,405.9163495,3.538397346,1420.520831,5.010521844,0
38,0.956938275,0.177403456,0.556883034,429.5497438,3.489770376,1461.923211,5.462492278,1
39,0.95435209,0.177854777,0.557819268,392.7635382,3.497904564,1398.288057,5.006099085,1
40,1.042039281,0.171323184,0.536406729,1726.115331,3.80022852,2827.581163,7.190407599,0
41,0.99519852,0.174134583,0.548485839,531.1719354,2.692594783,251.3502487,6.247987728,0
42,0.994408295,0.174112433,0.54869321,512.3499648,2.991080532,193.8063792,4.789591087,0
43,0.916385933,0.183210491,0.56835914,99.96092515,2.005880864,336.1836958,7.00396533,0
44,0.916178112,0.18328764,0.568471746,102.1405018,2.060847223,358.0492359,5.192892131,0
45,1.047649583,0.17391515,0.538387022,1123.647549,3.739523191,2112.937239,4.818011331,0
46,0.91050397,0.188905748,0.575967482,326.9793338,3.128482548,1084.528852,5.409382001,0
47,1.023479632,0.173925181,0.542414435,1256.800026,3.860576396,1559.877272,6.199693912,1
48,1.022769375,0.173933808,0.542543221,1250.111241,3.852608675,1579.630845,7.940780433,0
49,1.021853059,0.173939326,0.542716122,1222.010938,3.887672206,1590.261943,6.928552209,0
50,1.021010602,0.173943488,0.54287664,1214.416476,3.934949982,1576.004567,5.145350413,0
51,0.948555674,0.17879903,0.559819694,307.5908682,3.502480518,1089.803087,5.469380261,0
52,0.948496416,0.178619359,0.559625994,294.8855421,3.240577278,994.758761,7.25218772,0
53,0.985660381,0.175011709,0.549980082,573.1714221,3.367791778,1357.348169,4.610707908,1
54,0.928792789,0.182667469,0.566780451,221.2934933,2.953921728,817.5995309,5.707236038,1
55,1.047836908,0.172902476,0.537011817,1723.630408,4.540743839,2911.344052,4.966314064,0
56,1.048959305,0.173101252,0.537083442,1667.309432,4.656368101,2935.296226,4.744064668,0
57,1.04815099,0.172960321,0.537038871,1698.634712,4.594627143,2973.943318,4.907903947,0
58,0.981679102,0.175065595,0.550792666,447.4248698,4.065363674,1138.841807,4.248563207,0
59,0.97828019,0.175255345,0.55145516,409.255546,3.99037075,1266.723366,4.363919571,0
60,0.979411173,0.17518816,0.551233712,410.9306125,4.044087535,1223.731,4.273929272,0
61,0.954041533,0.177389376,0.557392258,314.7494074,3.633246717,1123.07049,4.352742628,0
62,0.95421414,0.177557571,0.557537443,345.8791106,3.527277884,1198.126339,5.362007716,0
63,0.953270074,0.177392672,0.557530998,283.7820337,3.498944689,1016.49559,5.238136475,0
64,0.947252197,0.178255832,0.559403013,204.7821933,3.015559007,665.7689931,7.87830852,0
65,0.948025033,0.178146028,0.55917553,204.9403301,3.081944399,705.4110254,7.780515356,0
66,0.949353435,0.177966024,0.558778771,212.608202,3.176422012,782.5963262,5.743035174,0
67,0.950698768,0.177781783,0.558365929,230.368584,3.303378903,852.1390993,5.830809767,0
68,0.952022068,0.177584733,0.557942723,255.1220924,3.423954893,916.62686,5.638396432,0
69,1.002111304,0.174203094,0.546826306,754.7761904,3.753829035,1114.643158,5.007235924,0
70,1.008627159,0.174043305,0.545481422,883.3699549,4.143483114,1449.580921,5.11763323,0
71,1.006517211,0.174087871,0.545923105,836.344477,3.886335703,1310.64117,4.853472817,0
72,1.004285884,0.174140866,0.546383663,793.4738702,3.68878812,1178.419799,4.761000938,0
73,0.916404022,0.183307478,0.568479193,104.4846631,2.073354184,362.4132084,5.623074267,0
74,1.056586703,0.174094569,0.537204994,1099.067998,3.653185821,1282.98206,5.140485303,0
78,1.058190974,0.174166051,0.537034057,1198.66211,2.774218474,1568.326392,6.352374408,0
79,1.057436828,0.174133728,0.537112759,1148.856723,3.647624572,1425.581804,5.198346117,0
80,0.908932613,0.187129847,0.57375241,228.1761657,2.599239684,840.4202513,5.314243888,0
81,0.905534566,0.186057299,0.572542137,147.176429,1.917574658,530.2209331,5.112714346,0
82,0.906590378,0.186392714,0.57292485,164.0772454,2.110020617,583.7707756,4.846931632,0
83,0.907777186,0.186771424,0.573352341,193.6257341,2.335926257,687.3827213,5.353414574,0
84,0.90540394,0.186293934,0.572845701,149.1193822,2.009815596,594.7843173,5.313912644,0
85,0.906046485,0.187012879,0.57374223,196.2954969,2.39432589,755.6276671,5.746537098,0
86,0.940719085,0.177862263,0.559818808,86.59301838,2.494074664,301.4847757,6.709423067,0
87,0.941430931,0.177783758,0.559651649,104.2035307,2.632262009,319.0740403,5.400818961,0
88,0.941295138,0.178312484,0.560254816,129.1168847,2.64699664,462.8368557,6.230457219,0
89,0.940159193,0.178016073,0.560052947,84.04296914,2.387785879,309.9236249,7.726694803,0
90,0.940507923,0.17821022,0.560233359,94.79748105,2.361918354,359.2451784,8.126822429,1
91,1.051657471,0.173954559,0.537820366,967.2816886,3.065682254,1583.350307,7.656446348,1
92,1.052544837,0.173979515,0.537708164,1004.641265,3.158534127,1542.421685,7.824734021,0
93,0.999554364,0.174131621,0.547490976,650.4273636,2.751097899,667.6449147,6.108234734,1
94,1.009711303,0.173858022,0.545475316,856.9142471,3.130281142,1042.882293,6.200801579,0
95,1.007753342,0.173893204,0.545886135,809.2320071,2.979931701,1175.892658,6.664983637,0
96,1.005602155,0.173937587,0.546329816,761.8455592,2.820826708,1091.009562,6.677174256,0
97,1.003544484,0.173993578,0.546736,722.1650368,2.671770841,938.8861976,8.423945627,0
98,1.001567992,0.174061591,0.547108357,685.4123893,2.46810466,803.3542831,6.669736173,1
99,1.044541536,0.172276918,0.536936706,1624.849953,3.942346629,3087.258233,5.054489007,0
100,1.04398198,0.17208229,0.536812228,1663.310469,4.028060459,3228.317605,4.664861412,0
101,1.043130792,0.171703691,0.536524056,1745.774501,3.983451878,3126.961297,4.946522031,0
102,1.043503087,0.171875896,0.536665431,1702.762988,4.124977367,3199.523657,4.430701425,0
103,0.933613268,0.178785732,0.561620974,153.7094013,2.61708963,483.0405896,7.11318287,0
104,0.933881087,0.179036562,0.561895044,172.3334642,2.578235802,531.8614932,8.615763651,0
105,1.01652294,0.173754867,0.5440363,891.8055263,3.242599419,502.9256693,7.005339606,1
106,1.010101736,0.173965292,0.545229038,912.6595654,3.595248995,1282.184298,4.772222701,0
107,1.011132721,0.173937225,0.545026008,918.0504655,3.430387919,1184.466472,4.750425363,0
108,1.012577946,0.173885547,0.544758371,943.6897143,3.267464237,1013.781782,6.485856077,1
109,1.013945159,0.173836697,0.544510577,944.3635848,3.132202979,843.498715,6.575277415,1
110,1.015248722,0.173794004,0.544270822,917.099193,3.093619645,673.0580633,6.745586488,1
111,1.013589901,0.173744025,0.54474632,815.5084863,3.397467488,599.9229525,5.315780083,0
112,1.012333216,0.173786987,0.544968858,843.1298886,3.352031933,761.608155,5.170903098,0
113,1.011146968,0.173828282,0.54518121,872.7426565,3.283584224,915.1076336,5.126365976,0
114,0.904448294,0.185693493,0.572128316,132.069343,1.969623618,475.7092896,5.525778335,0
115,0.89946101,0.183756637,0.569845879,56.20705609,2.076587835,246.5069506,5.882551651,1
116,0.900416555,0.184156159,0.570323199,70.02861597,2.203643404,331.9214431,5.346355088,0
117,0.901835975,0.184726787,0.570999117,118.2556065,2.301816265,368.0839027,5.042402462,0
118,0.9031685,0.185238973,0.571601898,125.2111189,2.095575725,415.490166,5.401356652,0
119,0.899416589,0.183942293,0.570087119,44.52169405,2.279480996,201.5815752,4.847417265,0
120,0.899799006,0.18450295,0.570786705,47.79856155,2.54449367,233.4277378,4.445924624,0
121,0.900077551,0.184855315,0.57123084,77.56026829,2.718479794,286.4585561,4.639559827,0
122,1.04362557,0.172048006,0.536952286,1576.119794,3.867819459,2965.372975,7.12671429,0
123,1.043136713,0.171857564,0.536819579,1616.044723,3.901448815,2919.528285,5.751688044,0
124,1.016127797,0.173681996,0.544258011,797.3190864,3.386334019,394.1498771,5.091677284,0
